ping 4170 
 loc 15.957991 146.034028
 Tx roll -1.054242  pitch 2.045459 heave -0.542000 heading 215.529534
1970 time 1304827266.555000
YMD time  2011 128 Sun May 8 04:01:06 0.555
 Transmit sector  0
----- tilt_angle        - -1.910000
----- focus_range       - 146.700000
----- signal_length     - 0.000300
----- tx_time_offset    - 0.000400
----- center_frequency  - 73000.000000
----- mean_absorp_coeff - 2036
----- waveform_id       - 0
----- sector_id         - 0
----- signal_bandwidth  - 5000.000000
 Transmit sector  1
----- tilt_angle        - -2.910000
----- focus_range       - 101.100000
----- signal_length     - 0.000300
----- tx_time_offset    - 0.000000
----- center_frequency  - 89000.000000
----- mean_absorp_coeff - 2856
----- waveform_id       - 0
----- sector_id         - 1
----- signal_bandwidth  - 5000.000000
 Transmit sector  2
----- tilt_angle        - -1.910000
----- focus_range       - 146.400000
----- signal_length     - 0.000300
----- tx_time_offset    - 0.000800
----- center_frequency  - 73000.000000
----- mean_absorp_coeff - 2036
----- waveform_id       - 0
----- sector_id         - 2
----- signal_bandwidth  - 5000.000000
 beam    across    along    depth  samp#  TWTTsec    SLR  RxStr sc# TxStr  shotdelat cenFQ
  53    -118.12    16.33   -97.82   2672 0.192396  288.6  53.18   0 -1.91  0.000400  73000 
  54    -117.32    16.35   -97.80   2660 0.191532  287.3  52.99   0 -1.91  0.000400  73000 
  55    -116.60    16.37   -97.84   2651 0.190884  286.3  52.80   0 -1.91  0.000400  73000 
  56    -115.78    16.39   -97.80   2639 0.190020  285.0  52.61   0 -1.91  0.000400  73000 
  57    -114.88    16.41   -97.72   2625 0.189012  283.5  52.41   0 -1.91  0.000400  73000 
  58    -114.18    16.43   -97.80   2616 0.188364  282.5  52.21   0 -1.91  0.000400  73000 
  59    -113.42    16.46   -97.89   2607 0.187716  281.6  51.99   0 -1.91  0.000400  73000 
  60    -112.54    16.48   -97.80   2594 0.186780  280.2  51.79   0 -1.91  0.000400  73000 
  61    -111.75    16.50   -97.78   2583 0.185988  279.0  51.59   0 -1.91  0.000400  73000 
  62    -111.01    16.52   -97.82   2573 0.185268  277.9  51.39   0 -1.91  0.000400  73000 
  63    -110.25    16.54   -97.85   2563 0.184548  276.8  51.18   0 -1.91  0.000400  73000 
  64    -109.51    16.56   -97.90   2553 0.183828  275.7  50.97   0 -1.91  0.000400  73000 
  65    -108.67    16.58   -97.85   2541 0.182964  274.4  50.76   0 -1.91  0.000400  73000 
  66    -107.86    16.60   -97.82   2530 0.182172  273.3  50.55   0 -1.91  0.000400  73000 
  67    -107.17    16.62   -97.90   2521 0.181524  272.3  50.34   0 -1.91  0.000400  73000 
  68    -106.39    16.64   -97.92   2511 0.180804  271.2  50.12   0 -1.91  0.000400  73000 
  69    -105.56    16.66   -97.86   2499 0.179940  269.9  49.91   0 -1.91  0.000400  73000 
  70    -104.71    16.68   -97.81   2487 0.179075  268.6  49.69   0 -1.91  0.000400  73000 
  71    -103.88    16.71   -97.83   2476 0.178283  267.4  49.45   0 -1.91  0.000400  73000 
  72    -103.14    16.73   -97.90   2467 0.177635  266.5  49.22   0 -1.91  0.000400  73000 
  73    -102.37    16.75   -97.90   2457 0.176915  265.4  49.00   0 -1.91  0.000400  73000 
  74    -101.58    16.77   -97.91   2446 0.176123  264.2  48.77   0 -1.91  0.000400  73000 
